Date,Year,MonthNumberOfYear,WeekNumberOfYear,DayNumberOfMonth,WeekdayLongName,QuarterNumberOfYear,MonthLongName
9/4/2016 0:00,2016,9,37,4,Sunday,3,September
9/5/2016 0:00,2016,9,37,5,Monday,3,September
9/6/2016 0:00,2016,9,37,6,Tuesday,3,September
9/7/2016 0:00,2016,9,37,7,Wednesday,3,September
9/8/2016 0:00,2016,9,37,8,Thursday,3,September
9/9/2016 0:00,2016,9,37,9,Friday,3,September
9/10/2016 0:00,2016,9,37,10,Saturday,3,September
9/11/2016 0:00,2016,9,38,11,Sunday,3,September
9/12/2016 0:00,2016,9,38,12,Monday,3,September
9/13/2016 0:00,2016,9,38,13,Tuesday,3,September
9/14/2016 0:00,2016,9,38,14,Wednesday,3,September
9/15/2016 0:00,2016,9,38,15,Thursday,3,September
9/16/2016 0:00,2016,9,38,16,Friday,3,September
9/17/2016 0:00,2016,9,38,17,Saturday,3,September
9/18/2016 0:00,2016,9,39,18,Sunday,3,September
9/19/2016 0:00,2016,9,39,19,Monday,3,September
9/20/2016 0:00,2016,9,39,20,Tuesday,3,September
9/21/2016 0:00,2016,9,39,21,Wednesday,3,September
9/22/2016 0:00,2016,9,39,22,Thursday,3,September
9/23/2016 0:00,2016,9,39,23,Friday,3,September
9/24/2016 0:00,2016,9,39,24,Saturday,3,September
9/25/2016 0:00,2016,9,40,25,Sunday,3,September
9/26/2016 0:00,2016,9,40,26,Monday,3,September
9/27/2016 0:00,2016,9,40,27,Tuesday,3,September
9/28/2016 0:00,2016,9,40,28,Wednesday,3,September
9/29/2016 0:00,2016,9,40,29,Thursday,3,September
9/30/2016 0:00,2016,9,40,30,Friday,3,September
1/1/2016 0:00,2016,1,1,1,Friday,1,January
1/2/2016 0:00,2016,1,1,2,Saturday,1,January
1/3/2016 0:00,2016,1,2,3,Sunday,1,January
1/4/2016 0:00,2016,1,2,4,Monday,1,January
1/5/2016 0:00,2016,1,2,5,Tuesday,1,January
1/6/2016 0:00,2016,1,2,6,Wednesday,1,January
1/7/2016 0:00,2016,1,2,7,Thursday,1,January
1/8/2016 0:00,2016,1,2,8,Friday,1,January
1/9/2016 0:00,2016,1,2,9,Saturday,1,January
1/10/2016 0:00,2016,1,3,10,Sunday,1,January
1/11/2016 0:00,2016,1,3,11,Monday,1,January
1/12/2016 0:00,2016,1,3,12,Tuesday,1,January
1/13/2016 0:00,2016,1,3,13,Wednesday,1,January
1/14/2016 0:00,2016,1,3,14,Thursday,1,January
1/15/2016 0:00,2016,1,3,15,Friday,1,January
1/16/2016 0:00,2016,1,3,16,Saturday,1,January
